Date,Harga
1/1/2020,3077
2/1/2020,3090
3/1/2020,3415
4/1/2020,3121
5/1/2020,3145
6/1/2020,3160
7/1/2020,3149
8/1/2020,3134
9/1/2020,3131
10/1/2020,3115
11/1/2020,3111
12/1/2020,3104
1/1/2021,3172
2/1/2021,3143
3/1/2021,3437
4/1/2021,3160
5/1/2021,3152
6/1/2021,3147
7/1/2021,3155
8/1/2021,3455
9/1/2021,3165
10/1/2021,3145
11/1/2021,3175
12/1/2021,3196
1/1/2022,3130
2/1/2022,3146
3/1/2022,3154
4/1/2022,3214
5/1/2022,3218
6/1/2022,3241
7/1/2022,3256
8/1/2022,3288
9/1/2022,3323
10/1/2022,3332
11/1/2022,3333
12/1/2022,3355
