Date,Harga
2020-01-01,3077.0
2020-01-02,3083.5
2020-02-01,3090.0
2020-02-02,3252.5
2020-03-01,3415.0
2020-03-02,3268.0
2020-04-01,3121.0
2020-04-02,3133.0
2020-05-01,3145.0
2020-05-02,3152.5
2020-06-01,3160.0
2020-06-02,3154.5
2020-07-01,3149.0
2020-07-02,3141.5
2020-08-01,3134.0
2020-08-02,3132.5
2020-09-01,3131.0
2020-09-02,3123.0
2020-10-01,3115.0
2020-10-02,3113.0
2020-11-01,3111.0
2020-11-02,3107.5
2020-12-01,3104.0
2020-12-02,3138.0
2021-01-01,3172.0
2021-01-02,3157.5
2021-02-01,3143.0
2021-02-02,3290.0
2021-03-01,3437.0
2021-03-02,3298.5
2021-04-01,3160.0
2021-04-02,3156.0
2021-05-01,3152.0
2021-05-02,3149.5
2021-06-01,3147.0
2021-06-02,3151.0
2021-07-01,3155.0
2021-07-02,3305.0
2021-08-01,3455.0
2021-08-02,3310.0
2021-09-01,3165.0
2021-09-02,3155.0
2021-10-01,3145.0
2021-10-02,3160.0
2021-11-01,3175.0
2021-11-02,3185.5
2021-12-01,3196.0
2021-12-02,3163.0
2022-01-01,3130.0
2022-01-02,3138.0
2022-02-01,3146.0
2022-02-02,3150.0
2022-03-01,3154.0
2022-03-02,3184.0
2022-04-01,3214.0
2022-04-02,3216.0
2022-05-01,3218.0
2022-05-02,3229.5
2022-06-01,3241.0
2022-06-02,3248.5
2022-07-01,3256.0
2022-07-02,3272.0
2022-08-01,3288.0
2022-08-02,3305.5
2022-09-01,3323.0
2022-09-02,3327.5
2022-10-01,3332.0
2022-10-02,3332.5
2022-11-01,3333.0
2022-11-02,3344.0
2022-12-01,3355.0
